Maya, an Architect, faces a moral dilemma.;Maya's colleague has the opportunity to initiate a major urban renewal project in the city.;As a means to achieve the creation of a thriving business district, attracting international investment, dramatically boosting the local economy, and providing numerous job opportunities, the renewal project requires demolishing several historical buildings and relocating a long-established residential community.;If Maya prevents her colleague's urban renewal project, the demolition of the historical buildings and community displacement would not happen.;Maya does not prevent her colleague's urban renewal project.
Alejandro, an Engineer, faces a moral dilemma.;Alejandro's colleague has the opportunity to implement a new power grid system in the city.;As a means to achieve the significant reduction in energy consumption and energy taxes for residents, as well as promoting stable and sustainable power supply for the future, implementing a new power grid system requires a temporary shutdown of the city's power supply, causing a city-wide blackout for several days.;If Alejandro prevents his colleague from implementing the new power grid system, there would not be a city-wide blackout for several days.;Alejandro does not prevent his colleague from implementing the new power grid system.
Amir, a Teacher, faces a moral dilemma.;Amir's colleague has the opportunity to introduce a new, rigorous curriculum in his class.;As a means to achieve the significant improvement of the students' critical thinking skills and better preparation for higher education and future careers, introducing a new, rigorous curriculum requires students to undergo a period of intense stress and workload, which will affect their mental health.;If Amir prevents his colleague from introducing the new curriculum, there would not be intense stress and workload on students.;Amir does not prevent his colleague from introducing the new curriculum.
Mei, a Nurse, faces a moral dilemma.;Mei's colleague has the opportunity to administer a new experimental drug to a critically ill patient.;As a means to achieve the potential complete cure of the patient's illness, leading to a full recovery and a healthy life, administering the new experimental drug requires the cessation of the patient's current treatment, which will lead to a temporary but significant deterioration in the patient's health.;If Mei prevents her colleague from administering the new experimental drug, there would not be a temporary but significant deterioration in the patient's health.;Mei does not prevent her colleague from administering the new experimental drug.
Amina, a Chef, faces a moral dilemma.;Amina's sous chef has the opportunity to change the menu of her restaurant to entirely plant-based dishes.;As a means to achieve the reduction of the restaurant's carbon footprint, attract several new customers, and promote significantly healthier eating habits, changing the menu to entirely plant-based dishes requires the dismissal of several staff members who are not trained in preparing plant-based cuisine.;If Amina prevents her sous chef from changing the menu to entirely plant-based dishes, there would not be a dismissal of several staff members.;Amina does not prevent her sous chef from changing the menu to entirely plant-based dishes.
Isamu, an Artist, faces a moral dilemma.;Isamu's colleague has the opportunity to create a controversial art piece that criticizes a powerful corporation.;As a means to spark a public outcry, leading to a thorough investigation of the corporation's unethical practices and protecting future employees from exploitation, creating a controversial art piece requires Isamu to steal highly sensitive information from the corporation.;If Isamu prevents his colleague from creating the controversial art piece, there would not be a theft of highly sensitive information from the corporation.;Isamu does not prevent his colleague from creating the controversial art piece.
Sanaa, a Lawyer, faces a moral dilemma.;Sanaa's paralegal has the opportunity to expose a major pharmaceutical company's illegal drug trials.;As a means to achieve stricter regulations in the pharmaceutical industry, preventing future drug trials that are putting people's lives at risk, exposing a major pharmaceutical company's illegal drug trials requires conducting intensive medical procedures on current patients, resulting in irreversible health changes for some of them.;If Sanaa prevents her paralegal from exposing the major pharmaceutical company's illegal drug trials, there would not be irreversible health changes for some patients.;Sanaa does not prevent her paralegal from exposing the major pharmaceutical company's illegal drug trials.
Diego, a Mechanic, faces a moral dilemma.;Diego's business partner has the opportunity to convert their traditional auto repair shop into an electric vehicle service center.;As a means to achieve the highly profitable and more sustainable conversion to an electric vehicle service center, Diego's conversion requires him to lay off his current employees who lack the skills and knowledge to service electric vehicles.;If Diego prevents his business partner from converting their traditional auto repair shop into an electric vehicle service center, there would not be layoffs of his current employees.;Diego does not prevent his business partner from converting their traditional auto repair shop into an electric vehicle service center.
Amara, a Soldier, faces a moral dilemma.;Amara's commanding officer has the opportunity to destroy a bridge that is the only connection between two towns.;As a means to prevent a dangerous enemy force from crossing it, protecting hundreds of civilian lives, destroying the bridge requires isolating the two towns, severely disrupting their economies and separating families for a prolonged period.;If Amara prevents her commanding officer from destroying the bridge, there would not be isolation of the two towns, severely disrupting their economies and separating families for a prolonged period.;Amara does not prevent her commanding officer from destroying the bridge.
Thanh, a Policeman, faces a moral dilemma.;Thanh's colleague has the opportunity to release a criminal informant back into society.;As a means to achieve the arrest and conviction of a dangerous murderer, releasing a criminal informant back into society requires Thanh to allow the informant to continue their illegal activities.;If Thanh prevents his colleague from releasing the criminal informant back into society, there would not be continued illegal activities by the informant.;Thanh does not prevent his colleague from releasing the criminal informant back into society.
